bf,HR,BV,UB
41 Gamma1 Leo,4057,1.15,1
41 Gamma2 Leo,4058,,
,4060,0.33,0.03
,4051,0.54,0.08
,4066,1.67,
,4052,1.13,
,4074,-0.12,-0.58
23 Sex,4064,-0.08,-0.67
,4047,0.2,0.12
,4068,0.4,
,4071,0.2,0.15
,4073,0.07,
42 Leo,4070,0.02,-0.02
,4067,0.54,0.08
,4076,0.03,
,4080,1.12,1.08
34 Mu UMa,4069,1.59,1.89
,4089,-0.13,-0.51
43 Leo,4077,1.12,1.14
27 LMi,4075,0.14,0.1
,4083,0.31,0.05
,4079,0.46,-0.04
25 Sex,4082,-0.1,-0.17
,4086,0.25,
,4087,0.88,0.6
,4078,1.09,0.94
,4091,1.52,1.78
,4072,-0.06,-0.13
28 LMi,4081,1.18,
,4085,1,0.74
,4102,0.35,-0.01
,4105,0.07,0.11
,4095,0.32,
44 Leo,4088,1.62,1.97
,4093,1,
,4092,1.52,1.86
30 LMi,4090,0.25,0.17
42 Mu Hya,4094,1.48,1.82
,4099,1.13,1.08
,4107,1.56,
,4097,1.14,
Alpha Ant,4104,1.45,1.63
,4110,0.51,0.02
,4115,0.09,0.11
,4096,0.17,0.08
45 Leo,4101,-0.06,-0.09
,4114,0.31,0.24
31 Beta LMi,4100,0.9,0.64
,4111,1.51,1.76
,4098,0.6,0.05
,4103,1.32,1.4
,4109,0.05,0.04
,4120,1.86,2.1
29 Delta Sex,4116,-0.06,-0.12
,4117,1.42,1.72
Delta Ant,4118,-0.04,-0.18
,4062,,
35 UMa,4106,1.14,
32 LMi,4113,0.08,0.14
,4129,0.01,-0.53
30 Beta Sex,4119,-0.14,-0.52
,4138,0.04,0.07
,4108,0.16,0.12
36 UMa,4112,0.52,-0.01
,4128,1.76,1.84
,4125,0.54,
,4122,1.38,1.18
,4123,-0.04,-0.16
,4142,1.68,1.83
,4084,0.37,-0.05
,4134,0.5,
,4130,0.51,
,4161,-0.08,-0.51
33 LMi,4124,0.11,0.05
,4136,-0.11,-0.47
,4135,-0.15,-0.71
,4140,-0.09,-0.72
46 Leo,4127,1.68,2.04
,4139,0.92,
,4144,0.32,-0.07
47 Rho Leo,4133,-0.14,-0.96
,4143,1.04,0.59
,4132,0.23,0.08
,4147,0.35,-0.44
34 LMi,4137,0.02,0.04
,4131,,
44 Hya,4145,1.6,1.82
,4151,1.4,1.55
48 Leo,4146,0.94,0.64
,4149,0.5,0.01
49 Leo,4148,0.05,0.05
,4126,0.96,0.72
37 UMa,4141,0.34,-0.02
,4154,0.94,0.71
,4153,2.88,7.1
,4170,1.2,1.27
Gamma Cha,4174,1.58,1.95
,4159,1.62,1.79
,4152,0.2,
,4121,0.95,0.74
,4157,0.48,
Phi2 Hya,4156,1.65,1.86
,4155,0.29,
,4164,1.18,1.2
35 LMi,4150,0.39,-0.03
,4158,0.52,0
,4160,0.29,
,4162,1.62,1.95
,4167,0.3,0.07
,4169,0.5,-0.24
,4163,2.68,5.78
,4173,-0.14,-0.63
Phi3 Hya,4171,0.92,0.68
37 LMi,4166,0.81,0.54
,4177,1.48,0.97
,4175,0.66,0.43
,4172,0,
,4179,1.65,1.96
,4165,1.27,1.34
38 LMi,4168,0.57,0.17
,4186,1.71,1.91
,4180,1.04,0.75
,4185,-0.16,-0.57
,4183,0.92,
,4188,0.08,-0.82
33 Sex,4182,0.88,0.59
,4176,1.3,
,4206,-0.07,-0.51
38 UMa,4178,1.2,1.28
,4184,1.62,1.83
,4196,-0.14,-0.58
,4190,1.54,
,4198,0.26,-0.65
,4194,0,0
Theta Car,4199,-0.22,-1.01
40 LMi,4189,0.17,0.09
,4181,1.38,1.54
35 Sex,4193,1.17,1.09
41 LMi,4192,0.04,0.05
,4200,1.71,1.87
,4191,0.33,0.01
39 UMa,4187,-0.02,-0.09
,4204,0,-0.57
,4205,-0.13,-0.62
,4197,0.17,
,4211,0.2,0.17
,4213,0.49,0.01
,4212,0.23,0.14
Eta Car,4210,0.61,-0.45
,4195,2.39,4.62
36 Sex,4201,1.21,1.28
Delta1 Cha,4231,0.95,0.75
Delta2 Cha,4234,-0.19,-0.7
42 LMi,4203,-0.06,-0.14
,4207,1.12,1.12
,4219,-0.1,-0.45
,4217,0.04,0.03
41 UMa,4202,1.56,1.9
51 Leo,4208,1.12,
52 Leo,4209,0.91,0.59
,4220,-0.07,-0.47
Mu Vel,4216,0.9,0.57
,4222,-0.15,-0.65
,4214,0.11,0.14
,4221,-0.08,-0.33
,4218,-0.01,
,4226,1.62,1.86
,4228,0.27,-0.3
,4225,0.03,0.04
,4224,1.6,1.94
,4215,-0.02,-0.04
43 LMi,4223,1.15,1.06
53 Leo,4227,0.03,0.02
40 Sex,4229,0.22,0.08
,4239,0,-0.09
Nu Hya,4232,1.25,1.3
,4233,1.07,0.91
44 LMi,4230,0.37,-0.01
,4238,0.04,0.05
41 Sex,4237,0.16,0.13
,4240,1.48,1.83
43 UMa,4235,1.12,
42 UMa,4236,1.14,1.15
,4244,0.08,0.13
,4268,1.46,1.57
,4241,,
,4250,0.16,-0.54
,4242,1.11,1.01
,4245,1.5,1.82
46 LMi,4247,1.04,0.91
,4249,0.9,0.61
,4251,0.47,0.06
,4257,0.95,0.65
,4243,0.99,0.86
,4252,1.16,
44 UMa,4246,1.36,1.52
,4262,-0.02,-0.46
,4253,0.96,0.77
45 Omega UMa,4248,-0.05,-0.05
,4255,0.83,
,4266,1.75,1.97
48 LMi,4254,0.28,0.12
,4256,1.01,
,4263,-0.08,-0.25
,4261,1.1,
,4271,1.08,0.88
54 Leo,4259,0.01,0.02
54 Leo,4260,,
55 Leo,4265,0.42,-0.02
46 UMa,4258,1.1,1
56 Leo,4267,1.45,1
,4264,1.13,1.08
,4269,1.55,1.94
50 LMi,4270,1.03,0.89
Iota Ant,4273,1.03,0.84
,4274,0.18,
,4279,1.53,1.64
,4276,1.1,1.1
,4304,0.55,0.04
Eta Oct,4312,0.11,0.12
,4282,0.37,
,4290,-0.06,-0.29
,4275,1.38,1.59
47 UMa,4277,0.61,0.13
,4284,1.63,1.91
,4278,1.59,1.92
,4281,0.43,-0.02
7 Alpha Crt,4287,1.09,1
,4272,0.97,
,4292,-0.08,
,4296,0.18,
,4293,0.11,0.12
,4289,1.5,1.82
,4280,1.47,
,4285,0.57,0.02
,4283,,
58 Leo,4291,1.16,1.12
,4298,0.52,0.09
59 Leo,4294,0.16,0.11
49 UMa,4288,0.24,0.17
,4297,1.18,
,4286,0.16,0.14
61 Leo,4299,1.62,1.95
48 Beta UMa,4295,-0.02,0.01
60 Leo,4300,0.05,0.05
,4302,0.31,0.09
,4303,0.26,0.06
,4305,0.94,
,4307,1.62,1.98
,4308,0.88,0.6
62 Leo,4306,1.22,1.32
50 Alpha UMa,4301,1.07,0.92
,4311,0.24,
51 UMa,4309,0.16,0.1
,4313,0.03,
63 Chi Leo,4310,0.33,0.08
,4316,-0.02,-0.06
Chi1 Hya,4314,0.36,0.04
,4315,0.3,
Chi2 Hya,4317,-0.06,-0.26
,4318,0.95,0.59
,4326,0.12,0.13
,4321,1.16,1.22
,4323,1.24,
,4325,1.03,0.81
,4320,0.04,
,4329,-0.05,-0.63
65 Leo,4319,0.97,0.66
,4324,0.34,0.03
,4327,0.03,
64 Leo,4322,0.16,0.12
,4328,0.6,0.08
,4331,0.03,0.05
,4338,0.22,-0.44
,4337,1.23,0.94
,4334,0.07,0.06
67 Leo,4332,0.06,0.12
,4333,1.51,1.5
,4336,1.57,1.9
52 Psi UMa,4335,1.14,1.11
,4330,0.22,0.13
,4339,0.04,
,4342,-0.08,-0.44
,4349,1.37,1.54
11 Beta Crt,4343,0.03,0.06
,4341,0.21,0.08
,4340,,
,4346,1.7,1.85
Psi Crt,4347,-0.01,-0.01
,4345,0.61,0.1
,4350,0.18,
,4348,1.38,
,4352,0.55,0.05
,4344,,
,4355,-0.06,-0.25
,4353,1.06,
,4354,1.66,2.08
,4361,-0.1,-0.71
,4360,1.32,1.42
,4351,1.15,1.12
69 Leo,4356,-0.03,-0.05
,4358,1.12,1.13
68 Delta Leo,4357,0.12,0.12
70 Theta Leo,4359,-0.01,0.06
,4364,1.61,1.93
72 Leo,4362,1.66,1.85
73 Leo,4365,1.2,1.09
,4366,0.27,0.07
,4363,0.43,-0.12
,4370,0.4,-0.03
74 Phi Leo,4368,0.21,0.14
,4367,1.08,
,4369,0.2,0.15
,4372,0.1,
75 Leo,4371,1.52,1.84
,4379,1.76,1.93
,4373,0.4,-0.03
,4376,0.98,
53 Xi UMa,4374,,
53 Xi UMa,4375,0.59,0.04
,4378,0.07,0.05
54 Nu UMa,4377,1.4,1.55
,4385,0.26,0.08
76 Leo,4381,1.04,0.87
55 UMa,4380,0.12,0.03
,4384,0.46,0
12 Delta Crt,4382,1.12,0.97
,4387,-0.03,-0.12
,4389,0.05,-0.48
,4383,1.01,
Picen,4390,-0.15,-0.59
77 Sigma Leo,4386,-0.06,-0.12
,4388,0.15,0.09
,4397,0.2,0.11
,4393,0.92,0.68
56 UMa,4392,0.99,0.8
,4391,0.09,0.09
,4398,0.01,
,4396,1.46,1.63
,4394,1.46,1.78
,4401,-0.08,-0.42
13 Lambda Crt,4395,0.42,-0.06
78 Iota Leo,4399,0.41,0.07
79 Leo,4400,0.94,0.66
,4406,0.06,-0.57
,4403,-0.18,-0.81
14 Epsilon Crt,4402,1.56,1.96
15 Gamma Crt,4405,0.21,0.11
,4404,1.38,1.58
,4409,0.99,0.77
,4411,1.54,1.72
81 Leo,4408,0.36,0.02
,4413,0.5,0.04
80 Leo,4410,0.33,0.05
,4407,,
,4412,0.43,0
,4415,-0.08,-0.54
83 Leo,4414,0.79,0.49
,4417,0.52,
16 Kappa Crt,4416,0.49,0.03
,4419,1.04,0.73
84 Tau Leo,4418,1,0.79
,4420,,
,4425,0.16,-0.42
,4423,-0.03,
57 UMa,4422,0.01,0.01
,4421,0.36,-0.05
,4428,0.07,
85 Leo,4426,1.32,
,4424,0.15,0.11
,4427,,
87 Leo,4432,1.54,1.83
,4430,1.27,1.19
86 Leo,4433,1.05,0.82
58 UMa,4431,0.49,-0.01
,4435,0.88,0.54
,4436,0.93,0.72
,4438,0.52,-0.11
1 Lambda Dra,4434,1.62,1.97
88 Leo,4437,0.57,0.07
Omicron1Cen,4441,1.08,0.78
,4440,0.54,
Omicron2Cen,4442,0.49,-0.11
,4429,0.24,0.12
,4443,0.53,0.02
,4444,0.53,0.04
,4448,1.13,1.12
,4439,0.5,-0.01
,4445,1.66,1.99
,4446,1.38,1.64
,4447,1.58,1.81
,4449,1.58,1.95
Xi Hya,4450,0.94,0.71
,4451,0.6,
,4453,0.12,
,4452,1.05,0.93
,4454,0.18,0.1
89 Leo,4455,0.46,0.01
,4458,0.81,0.39
90 Leo,4456,-0.16,-0.64
,4460,-0.08,-0.21
,4462,1.04,0.92
,4459,1.01,
,4457,1.02,
,4463,1.66,1.93
,4464,0.13,0.1
Lambda Cen,4467,-0.04,-0.17
,4466,0.25,0.12
2 Dra,4461,1.01,0.68
,4465,0.23,0.07
,4472,-0.09,-0.63
,4469,1.02,0.83
,4470,0.06,0.06
21 Theta Crt,4468,-0.08,-0.18
91 Upsilon Leo,4471,1,0.75
,4475,1.12,1.15
,4473,0.46,0.06
Picha,4479,0.35,0
,4476,1.24,1.3
,4485,1.02,0.83
,4474,1.07,0.76
,4487,-0.02,-0.16
,4478,1.08,0.95
59 UMa,4477,0.33,0.01
,4484,1.12,1.08
1 Omega Vir,4483,1.57,1.53
,4482,1.32,1.48
60 UMa,4480,0.38,0.14
24 Iota Crt,4488,0.52,
,4486,0.56,0.05
,4481,,
,4489,0.82,0.32
,4492,0.8,0.36
,4491,1.62,1.75
,4490,0,
Omicron Hya,4494,-0.07,-0.22
,4493,-0.12,-0.34
,4497,1.66,2.02
92 Leo,4495,0.98,0.44
,4499,1.15,0.81
,4507,1.08,0.88
61 UMa,4496,0.72,0.25
,4498,0.66,0.19
,4502,,
62 UMa,4501,0.43,-0.07
,4500,1.49,
,4503,1.48,1.78
,4506,0.95,
,4505,,
3 Dra,4504,1.28,1.24
,4509,0.9,0.59
,4508,1.46,1.71
,4511,0.8,0.35
,4513,0.06,0.13
,4510,0.96,0.71
,4512,1.53,1.85
27 Zeta Crt,4514,0.97,0.74
,4516,1.17,
2 Xi Vir,4515,0.18,0.1
Lambda Mus,4520,0.16,0.15
,4519,-0.12,-0.55
3 Nu Vir,4517,1.51,1.79
63 Chi UMa,4518,1.18,1.16
,4522,0.9,0.58
,4523,0.66,0.1
,4521,1.27,1.48
,4524,0.96,
,4525,0.68,0.24
,4526,1.67,1.99
4 Vir,4528,0.02,0.04
93 Leo,4527,0.55,0.28
Mu Mus,4530,1.54,1.91
,4529,0.58,0.13
,4531,0.29,0.07
,4532,1.6,1.67
,4533,0.52,0.08
94 Beta Leo,4534,0.09,0.07
,4535,0.27,0.14
,4537,-0.15,-0.59
,4536,0.46,0.02
,4538,1.4,1.22
,4539,0.95,
,4541,0.26,-0.04
,4542,0.98,
5 Beta Vir,4540,0.55,0.11
,4543,0.27,0.08
,4544,1.06,0.88
,4546,1.3,1.46
,4545,0.32,0.11
,4547,0.4,
,4548,0.56,0.05
,4549,-0.11,-0.54
,4551,0.07,
Beta Hya,4552,-0.1,-0.33
,4550,0.75,0.17
,4553,0.08,0.09
64 Gamma UMa,4554,0,0.02
,4555,0.2,0.16
,4556,0.05,
,4557,0.52,-0.03
,4558,0.88,0.53
,4563,0.19,0.01
6 Vir,4559,0.94,0.67
65 UMa,4560,0.1,0.08
65 UMa,4561,0.01,0.02
,4562,1.58,1.83
,4565,1.5,1.86
95 Leo,4564,0.11,0.12
,4568,1.02,
66 UMa,4566,1.1,
30 Eta Crt,4567,-0.02,0
,4570,0.4,0.04
,4569,0.96,
,4571,-0.04,
,4572,0.46,-0.02
,4573,-0.15,-0.66
,4574,0.29,
,4576,-0.08,
,4577,0.97,0.7
,4575,,
,4578,0.18,-0.11
,4579,0.03,0.04
,4580,1.26,1.41
,4582,1.28,
,4581,1.15,1.11
Epsilon Cha,4583,-0.06,-0.16
7 Vir,4585,0,0
,4584,0.22,0.15
,4586,1.61,1.9
,4588,1.22,
,4587,0.77,0.44
,4590,-0.2,
8 Pi Vir,4589,0.13,0.11
,4591,1.21,1.06
,4592,0,-0.03
,4593,1.01,0.8
67 UMa,4594,0.26,0.07
,4595,1.29,1.54
,4596,1.17,1.14
,4597,-0.08,-0.28
,4598,1.49,1.83
Theta1 Cru,4599,0.27,0.04
,4600,0.41,-0.03
,4601,1.23,0.97
2 Com,4602,0.22,0.11
Theta2 Cru,4603,-0.08,-0.61
,4606,0.59,
,4604,-0.01,-0.17
Kappa Cha,4605,1.49,1.78
,4607,1.67,2.04
9 Omicron Vir,4608,0.98,0.63
,4609,1.01,0.85
,4610,1.17,1.15
,4611,0.22,-0.47
,4612,-0.08,
,4613,1,0.79
,4614,1.24,1.04
,4615,0.65,0.4
Eta Cru,4616,0.34,0.03
,4617,1.3,1.37
,4619,-0.05,
,4618,-0.15,-0.67
,4620,-0.01,-0.04
Delta Cen,4621,-0.12,-0.9
,4622,1.74,1.88
1 Alpha Crv,4623,0.32,-0.02
,4624,0.24,0.16
,4625,-0.07,-0.62
10 Vir,4626,1.12,1.14
,4627,0.5,
,4628,0.03,-0.02
11 Vir,4629,0.35,0.17
2 Epsilon Crv,4630,1.33,1.47
3 Com,4632,0.06,0.1
,4631,0.2,
,4633,0.11,0.09
,4639,1.62,
,4636,1.08,0.79
3 Crv,4635,0.06,
,4634,0.39,0.09
,4637,0.82,0.49
Rho Cen,4638,-0.15,-0.62
68 UMa,4641,,
4 Com,4640,1.41,1.61
,4642,0.36,0.01
5 Com,4643,0.95,
,4646,0.33,0.1
,4644,0.29,-0.33
,4645,0.84,0.57
,4647,1.66,1.46
,4648,-0.13,
12 Vir,4650,0.27,0.11
,4651,0.08,
,4649,1.24,1.41
,4652,1.43,1.59
,4653,0.12,-0.82
,4654,1.04,
,4655,1.05,
,4659,1.19,
Delta Cru,4656,-0.23,-0.91
,4657,0.46,-0.13
,4686,0.35,-0.01
69 Delta UMa,4660,0.08,0.07
,4658,1.01,0.76
,4665,1.14,
,4661,0.45,
4 Gamma Crv,4662,-0.11,-0.34
6 Com,4663,0.06,0.08
2 CVn,4666,1.55,1.96
7 Com,4667,0.97,0.68
,4664,-0.01,-0.06
,4668,1.14,1.07
,4683,0.43,-0.08
,4670,0.1,0.12
,4669,0.03,-0.05
,4672,1.3,1.52
,4673,0.16,0.12
Epsilon Mus,4671,1.58,1.55
,4676,1.37,
,4675,0.01,
,4677,0.36,0.03
,4678,0.33,0.01
Beta Cha,4674,-0.12,-0.51
Zeta Cru,4679,-0.17,-0.69
,4680,0.3,0.02
13 Vir,4681,0.17,0.13
,4687,-0.02,-0.05
,4682,1.59,1.95
,4684,0.18,0.09
8 Com,4685,0.17,0.15
9 Com,4688,0.5,0.08
3 CVn,4690,1.66,1.97
15 Eta Vir,4689,0.02,0.06
,4691,0.82,
,4694,0.3,0.08
,4693,1.09,1.07
16 Vir,4695,1.16,1.15
,4692,-0.04,-0.15
5 Zeta Crv,4696,-0.1,-0.38
,4698,0.36,-0.01
11 Com,4697,1.01,0.79
70 UMa,4701,1.43,1.71
,4699,1.05,0.89
Epsilon Cru,4700,1.42,1.63
,4702,1.57,1.64
Zeta2 Mus,4703,0.19,0.17
,4705,-0.01,-0.04
Zeta1 Mus,4704,1.04,0.82
12 Com,4707,0.49,0.26
17 Vir,4708,0.6,0.08
,4706,-0.1,-0.41
,4710,0.89,0.53
6 Crv,4711,1.16,
,4712,-0.08,
,4713,0.29,
,4714,-0.08,
4 CVn,4715,0.33,0.18
5 CVn,4716,0.87,0.62
13 Com,4717,0.08,0.11
,4719,0.27,0.08
,4718,1.18,1.06
71 UMa,4726,1.62,1.83
,4727,0.91,
,4721,0.65,
,4722,0.03,
,4725,1.1,1
,4720,0.96,0.74
,4723,1.27,
,4724,-0.06,
,4709,1.08,0.89
6 CVn,4728,0.96,0.73
14 Com,4733,0.27,0.18
,4740,1.06,0.85
,4729,-0.12,-0.59
,4732,-0.14,-0.64
Alpha1 Cru,4730,-0.24,-1.03
Alpha2 Cru,4731,-0.26,-0.95
,4734,0.68,0.22
,4735,0.01,
15 Gamma Com,4737,1.13,1.15
16 Com,4738,0.08,0.13
,4736,0.07,
,4739,1.45,1.58
73 UMa,4745,1.55,
,4741,0.93,0.68
,4742,0.84,0.5
,4746,0.44,0.08
Sigma Cen,4743,-0.19,-0.78
,4744,0.02,-0.03
,4748,-0.08,
,4747,1.26,1.32
,4749,0.92,0.64
,4750,0.17,0.12
,4751,0.22,0.08
17 Com,4752,-0.05,-0.12
18 Com,4753,0.43,0.09
20 Com,4756,0.07,0.09
7 Delta Crv,4757,-0.05,-0.09
,4754,1.56,1.82
74 UMa,4760,0.2,0.14
,4755,1.52,1.54
7 CVn,4761,0.51,0.03
75 UMa,4762,0.98,
,4758,0.56,0.05
4 Dra,4765,1.62,1.81
,4759,1.67,2.03
,4767,0.54,0.07
21 Com,4766,0.05,0.1
Gamma Cru,4763,1.59,1.78
Gamma Cru,4764,0.16,
,4770,1.52,1.89
,4772,1.04,0.86
,4768,0.63,0.38
,4771,0.27,
8 Eta Crv,4775,0.38,0.01
,4774,0.2,0.18
,4769,1.11,1.05
Gamma Mus,4773,-0.15,-0.62
,4776,0.4,-0.02
20 Vir,4777,0.95,0.7
,4778,0.29,
5 Kappa Dra,4787,-0.13,-0.57
22 Com,4780,0.11,0.1
,4779,0.86,0.45
,4783,1,0.83
8 Beta CVn,4785,0.59,0.05
21 Vir,4781,-0.03,-0.1
,4784,1.05,0.9
,4782,0.46,
9 Beta Crv,4786,0.89,0.6
,4788,0.7,0.28
6 Dra,4795,1.31,1.15
23 Com,4789,0,-0.01
24 Com,4791,0.25,0.11
24 Com,4792,1.15,1.11
,4793,1.22,
,4790,0.73,0.3
,4794,0.22,0
,4797,0.33,0.08
,4796,0.01,
,4800,,
25 Vir,4799,0.07,0.09
25 Com,4801,1.41,1.75
Alpha Mus,4798,-0.2,-0.83
Tau Cen,4802,0.05,0.03
,4803,0.32,0.03
,4805,0.01,0.01
,4807,1.6,1.83
,4808,1.44,1.28
,4809,0.29,
9 CVn,4811,0.18,0.07
,4806,0.06,-0.85
,4812,1.1,
,4810,1.21,
26 Com,4815,0.96,
,4804,0.08,-0.24
26 Chi Vir,4813,1.23,1.39
,4816,0.06,0.03
,4817,-0.08,-0.42
,4814,-0.05,-0.2
,4821,,
,4822,0.42,0.1
,4818,1.52,1.72
Gamma Cen,4819,-0.01,-0.01
76 UMa,4833,0.01,0.07
27 Vir,4824,0.19,0.1
29 Gamma Vir,4825,0.36,-0.03
29 Gamma Vir,4826,,
,4827,0.39,0.09
30 Rho Vir,4828,0.09,0.03
,4823,-0.04,-0.39
31 Vir,4829,0,-0.02
,4820,0.78,0.54
,4831,1.09,1.01
,4832,-0.03,-0.19
,4830,0.27,-0.79
,4840,1.26,1.39
,4834,-0.08,-0.3
,4836,0.25,0.04
,4835,1.09,1
,4837,0.86,0.46
,4838,-0.06,
,4839,1.34,1.5
,4852,0.12,0.13
,4843,0.43,
10 CVn,4845,0.55,-0.03
,4841,0.69,0.38
,4846,2.54,6.33
32 Vir,4847,0.33,0.15
Iota Cru,4842,1.05,0.94
Beta Mus,4844,-0.18,-0.74
33 Vir,4849,0.99,0.76
,4848,-0.16,-0.64
27 Com,4851,1.35,1.54
,4850,1.34,1.6
,4854,-0.05,-0.06
34 Vir,4855,0.12,0.13
,4859,,
,4856,0.55,0.07
7 Dra,4863,1.56,
Beta Cru,4853,-0.23,-1
35 Vir,4858,1.6,1.83
,4857,-0.06,-0.45
28 Com,4861,0.01,0.01
,4860,0.95,0.61
,4867,0.46,-0.04
11 CVn,4866,0.18,0.17
,4864,0.7,0.25
29 Com,4865,0.02,0.07
,4892,-0.06,-0.12
,4893,-0.03,-0.06
30 Com,4869,0.03,0.06
,4862,1.17,0.95
,4875,0.15,0.08
,4868,0.35,0.21
,4873,1,0.8
,4871,0.05,
,4874,-0.04,-0.11
,4872,0.13,
,4876,0.38,-0.1
,4877,1.02,0.79
37 Vir,4878,1.29,1.44
31 Com,4883,0.67,0.2
,4879,-0.1,
,4881,0.23,
,4880,0.03,0.02
32 Com,4884,1.59,1.99
,4882,1.13,
,4886,0.16,0.1
,4885,1.31,1.4
,4888,1.37,1.58
38 Vir,4891,0.5,0.04
35 Com,4894,0.9,0.64
,4887,0.33,-0.42
,4889,0.21,0.12
,4896,1.1,1.02
Kappa Cru,4890,0.2,-0.65
41 Vir,4900,0.27,0.05
77 Epsilon UMa,4905,-0.02,0.02
,4904,0.2,0.09
,4901,0.08,
40 Psi Vir,4902,1.6,1.53
,4895,0.76,0.6
Mu1 Cru,4898,-0.17,-0.76
Mu2 Cru,4899,-0.12,-0.51
Lambda Cru,4897,-0.15,-0.61
,4909,1.55,1.57
,4903,0.64,0.25
Iota Oct,4870,1.02,0.79
,4906,1.68,2.05
8 Dra,4916,0.28,0.02
43 Delta Vir,4910,1.58,1.78
,4911,0,
,4908,0.01,-0.84
12 Alpha1 CVn,4914,0.34,-0.03
12 Alpha2 CVn,4915,-0.12,-0.32
,4917,0.19,0.08
,4912,0.68,
,4907,1.13,0.9
,4913,-0.06,-0.32
,4919,1.01,0.8
,4918,1.07,
,4927,0.99,0.75
36 Com,4920,1.56,1.96
44 Vir,4921,0.18,0.08
9 Dra,4928,1.29,1.29
37 Com,4924,1.17,1.05
,4922,0.38,
46 Vir,4925,1.12,1.1
,4926,0.42,0.02
78 UMa,4931,0.36,0.01
38 Com,4929,0.96,
,4934,0.41,0.02
47 Epsilon Vir,4932,0.94,0.73
Delta Mus,4923,1.18,1.26
,4936,0.05,0.06
,4930,0.05,-0.87
Xi1 Cen,4933,0.02,0.03
,4935,0.56,0.07
48 Vir,4937,0.29,0.11
,4938,1.68,1.83
,4950,,
,4939,1.7,1.99
14 CVn,4943,-0.08,-0.2
,4945,1.13,
,4948,0.05,0.09
,4940,-0.14,-0.58
39 Com,4946,0.39,0
40 Com,4949,1.59,1.63
,4953,0.99,0.65
,4941,1.05,
,4947,-0.02,-0.02
Xi2 Cen,4942,-0.19,-0.79
41 Com,4954,1.48,1.85
,4944,0.48,0.12
,4951,-0.07,-0.27
,4956,1.36,1.64
49 Vir,4955,1.14,1.12
Theta Mus,4952,-0.02,-0.87
,4957,1.18,1.18
45 Psi Hya,4958,1.05,0.93
,4960,1,
,4959,1.02,0.79
,4964,1.15,
15 CVn,4967,-0.12,-0.48
50 Vir,4961,1.49,1.69
,4962,1.45,1.65
,4974,-0.02,-0.02
51 Theta Vir,4963,-0.01,-0.01
42 Alpha Com,4968,0.45,-0.06
42 Alpha Com,4969,,
17 CVn,4971,0.29,
,4965,-0.09,-0.38
,4970,0.52,
,4973,1.05,0.92
,4978,0.19,
,4966,0.42,-0.03
43 Beta Com,4983,0.57,0.07
,4972,0.44,0.35
,4979,0.7,0.31
53 Vir,4981,0.46,0.02
,4984,0.98,
,4975,-0.08,-0.38
,5009,0.94,
,4986,1.51,
,4987,0.88,
,4977,0.06,0.04
,4982,1.06,
,4980,0.6,0.08
,4992,1.2,
,4985,-0.02,
54 Vir,4990,0.09,0.01
,5003,0.08,0.07
,4997,1.06,0.93
,4991,1.38,1.62
55 Vir,4995,0.87,0.44
,4988,1.08,
,4989,0.48,
,4976,1.07,0.72
,4998,1.5,1.86
,4996,1.06,0.93
,4999,0.97,
Eta Mus,4993,-0.08,-0.35
,4994,1.21,1.33
19 CVn,5004,0.19,0.12
57 Vir,5001,1.03,0.87
,5007,0.98,0.75
,5005,0.31,0.08
,5018,-0.06,-0.16
,5010,0.25,0.08
,5000,0.44,-0.02
59 Vir,5011,0.59,0.1
,5006,0.96,0.61
,5002,1.5,1.58
,5008,0.2,0.15
,5013,1.31,1.51
,5014,0.26,0.04
20 CVn,5017,0.3,0.21
60 Sigma Vir,5015,1.67,1.95
21 CVn,5023,-0.07,-0.2
61 Vir,5019,0.71,0.26
,5022,1.35,
,5016,0.01,
,5021,0.06,0.03
46 Gamma Hya,5020,0.92,0.66
,5025,0.24,
,5012,1.35,1.46
23 CVn,5032,1.2,
,5024,0.43,
Iota Cen,5028,0.04,0.03
,5026,-0.13,-0.52
,5031,0.1,0.1
,5027,0.29,-0.69
,5029,1.12,1.01
,5033,0.09,0.08
,5037,0.06,0.03
,5045,0.24,0.06
64 Vir,5040,0.12,0.1
,5036,0.12,-0.72
,5034,0.01,-0.58
,5035,-0.13,-0.6
,5030,0.09,-0.34
,5038,0.18,
63 Vir,5044,0.99,0.75
,5039,-0.07,-0.44
,5043,1.65,1.96
65 Vir,5047,1.43,1.66
,5046,0.96,
,5052,1.68,
79 Zeta UMa,5054,0.02,0.03
79 Zeta UMa,5055,0.13,0.09
,5041,0.85,0.47
,5053,1.06,0.91
66 Vir,5050,0.42,-0.04
,5057,0.06,0.08
Iota1 Mus,5042,1.11,1.01
67 Alpha Vir,5056,-0.23,-0.93
80 UMa,5062,0.16,0.08
,5048,0.4,-0.01
,5049,-0.03,-0.18
,5070,0.74,0.3
,5058,1.2,1.02
,5073,1.63,1.9
,5059,0.19,0.13
,5067,0.97,
68 Vir,5064,1.52,1.75
,5060,1.47,
,5091,0.77,0.35
,5074,0.37,0
,5061,,
,5075,0.39,-0.01
,5065,0.98,
Iota2 Mus,5051,-0.06,-0.24
,5063,-0.12,-0.69
69 Vir,5068,1.09,1.06
,5076,0.23,0.14
,5079,,
70 Vir,5072,0.71,0.26
,5077,0.92,
,5085,-0.01,-0.02
,5083,0.37,0.05
,5066,0.02,-0.42
,5069,0.11,0.05
71 Vir,5081,1.05,
